Vendor,Cable Zone,D of W,Time,Program Name,Rating A25+,Imp A25+,Rating W35+,Imp W35+,Share P25+,PUT P25+,Imp W35+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,FAM,0.1,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,FOOD,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,FXNC,0.7,,,,,,,,,,,,,6,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,HGTV,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,LIF,0.2,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,TBS,0.4,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,TLC,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,TNT,0.7,,,,,,,,,,,,,6,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,TWC,0.1,,,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,1000P-1200A,USA,0.5,,,,,,,,,,,,,6,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,3,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,CNN,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,ESPN,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,3,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,TBS,0.2,,,,,,,,,,,,,3,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,TNT,0.3,,,,,,,,,,,,,3,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,3,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,5,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,CNN,0.2,,,,,,,,,,,,,5,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,ESPN,0.1,,,,,,,,,,,,,6,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,LIF,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,TBS,0.1,,,,,,,,,,,,,4,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,TNT,0.7,,,,,,,,,,,,,5,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0900A-0400P,USA,0.5,,,,,,,,,,,,,5,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,AEN,0.4,,,,,,,,,,,,,8,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,CNN,0.2,,,,,,,,,,,,,8,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,ESPN,0.4,,,,,,,,,,,,,9,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,LIF,0.5,,,,,,,,,,,,,7,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,TBS,0.4,,,,,,,,,,,,,7,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,TNT,0.8,,,,,,,,,,,,,8,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0400P-0700P,USA,0.9,,,,,,,,,,,,,8,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,AEN,0.6,,,,,,,,,,,,,12,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,CNN,0.3,,,,,,,,,,,,,11,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,ESPN,1.2,,,,,,,,,,,,,12,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,LIF,0.5,,,,,,,,,,,,,9,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,TBS,0.8,,,,,,,,,,,,,9,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,TNT,1.5,,,,,,,,,,,,,11,,,
Suddenlink - Carlyss 7559,,Mon-Sun,0700P-1000P,USA,1,,,,,,,,,,,,,11,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,AEN,3,,,,,,,,,,,,,9,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,CNN,0.1,,,,,,,,,,,,,8,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,ESPN,0.6,,,,,,,,,,,,,9,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,LIF,0.2,,,,,,,,,,,,,7,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,TBS,0.4,,,,,,,,,,,,,7,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,TNT,0.7,,,,,,,,,,,,,8,,,
Suddenlink - Carlyss 7559,,Mon-Sun,1000P-1200A,USA,0.5,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,3,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,BET,0.1,,,,,,,,,,,,,5,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,CNN,0.3,,,,,,,,,,,,,6,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,ESPN,0.3,,,,,,,,,,,,,6,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,3,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,FXNC,2.1,,,,,,,,,,,,,12,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,3,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,3,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,TBS,0.2,,,,,,,,,,,,,5,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,3,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,TNT,0.3,,,,,,,,,,,,,6,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,TWC,0.3,,,,,,,,,,,,,13,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,6,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,5,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,BET,0.1,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,CNN,0.2,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,ESPN,0.1,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,FOOD,0.2,,,,,,,,,,,,,4,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,FXNC,0.9,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,HGTV,0.2,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,LIF,0.3,,,,,,,,,,,,,4,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,TBS,0.1,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,TLC,0.1,,,,,,,,,,,,,4,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,TNT,0.7,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,TWC,0.2,,,,,,,,,,,,,5,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0900A-0400P,USA,0.5,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,AEN,0.4,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,BET,0.5,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,CNN,0.2,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,ESPN,0.4,,,,,,,,,,,,,9,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,FOOD,0.3,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,FXNC,1.7,,,,,,,,,,,,,12,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,HGTV,0.4,,,,,,,,,,,,,10,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,LIF,0.5,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,TBS,0.4,,,,,,,,,,,,,10,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,TLC,0.2,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,TNT,0.8,,,,,,,,,,,,,12,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,TWC,0.1,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0400P-0700P,USA,0.9,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,AEN,0.6,,,,,,,,,,,,,15,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,BET,0.6,,,,,,,,,,,,,13,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,CNN,0.3,,,,,,,,,,,,,23,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,ESPN,1.2,,,,,,,,,,,,,23,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,FOOD,0.6,,,,,,,,,,,,,10,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,FXNC,1.5,,,,,,,,,,,,,23,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,HGTV,0.6,,,,,,,,,,,,,19,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,LIF,0.5,,,,,,,,,,,,,13,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,TBS,0.8,,,,,,,,,,,,,19,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,TLC,0.6,,,,,,,,,,,,,10,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,TNT,1.5,,,,,,,,,,,,,23,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,TWC,0.2,,,,,,,,,,,,,19,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,0700P-1000P,USA,1,,,,,,,,,,,,,23,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,AEN,0.3,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,BET,0.3,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,CNN,0.1,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,ESPN,0.6,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,FOOD,0.3,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,FXNC,0.7,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,HGTV,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,LIF,0.2,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,TBS,0.4,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,TLC,0.3,,,,,,,,,,,,,5,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,TNT,0.7,,,,,,,,,,,,,8,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,TWC,0.1,,,,,,,,,,,,,7,,,
Suddenlink - Leesville/Many 9644,,Mon-Sun,1000P-1200A,USA,0.5,,,,,,,,,,,,,8,,,
Fox 29,,Mon-Fri,0700A-0800A,Judge Alex/Divorce Court,,,,,,,,,,50,30,20,,,,,
Fox 29,,Mon-Fri,0800A-0900A,People's Court,,,,,,,,,,50,30,25,,,,,
Fox 29,,Mon-Fri,0900A-1000A,Judge Mathis,,,,,,,,,,85,70,60,,,,,
Fox 29,,Mon-Fri,1000A-1100A,Judge Judy,,,,,,,,,,85,70,60,,,,,
Fox 29,,Mon-Fri,1100A-1200P,Rachael Ray,,,,,,,,,,50,35,25,,,,,
Fox 29,,Mon-Fri,1200P-1230P,FOX29 News Express,,,,,,,,,,100,85,65,,,,,
Fox 29,,Mon-Fri,1230P-0100P,Jeopardy,,,,,,,,,,50,35,25,,,,,
Fox 29,,Mon-Fri,0100P-0200P,The Doctors,,,,,,,,,,50,35,25,,,,,
Fox 29,,Mon-Fri,0200P-0300P,Dr. Oz,,,,,,,,,,60,45,30,,,,,
Fox 29,,Mon-Fri,0300P-0400P,Queen Latifah,,,,,,,,,,90,65,55,,,,,
Fox 29,,Mon-Fri,0400P-0500P,Steve Harvey,,,,,,,,,,100,85,60,,,,,
Fox 29,,Mon-Fri,0500P-0600P,Big Bang Theory,,,,,,,,,,115,75,55,,,,,
Fox 29,,Mon-Fri,0600P-0630P,Wheel of Fortune,,,,,,,,,,160,140,115,,,,,
Fox 29,,Mon-Fri,0630P-0700P,Jeopardy,,,,,,,,,,160,140,115,,,,,
Fox 29,,Mon-Fri,0900P-1000P,Modern Family,,,,,,,,,,100,85,65,,,,,
Fox 29,,Mon-Fri,1000P-1030P,Two and a Half Men,,,,,,,,,,50,35,25,,,,,
Fox 29,,Mon-Fri,1030P-1100P,Two and a Half Men,,,,,,,,,,50,35,25,,,,,
Fox 29,,Mon-Fri,1100P-1200A,Law & Order: SVU,,,,,,,,,,30,15,10,,,,,
Fox 29,,A,1200P-0600P,Various Non-Sports Rotator,,,,,,,,,,60,45,35,,,,,
Fox 29,,A,0600P-0700P,Wheel/Jeopardy,,,,,,,,,,80,55,40,,,,,
Fox 29,,A,0900P-1000P,Modern Family,,,,,,,,,,80,55,40,,,,,
Fox 29,,A,1000P-1100P,Animation Domination HD,,,,,,,,,,50,30,20,,,,,
Fox 29,,A,1100P-1200A,Glee,,,,,,,,,,40,30,20,,,,,
Fox 29,,U,0800A-0900A,Fox News Sunday,,,,,,,,,,60,40,25,,,,,
Fox 29,,U,1000A-1030A,Open House,,,,,,,,,,50,40,25,,,,,
Fox 29,,U,1030A-1100A,Today's Homeowner,,,,,,,,,,50,40,25,,,,,
Fox 29,,U,1200P-0330P,NFL on FOX,,,,,,,,,,1200,1000,800,,,,,
Fox 29,,U,0900P-1000P,The Big Bang Theory,,,,,,,,,,90,75,60,,,,,
Fox 29,,U,1000P-1100P,Glee,,,,,,,,,,60,45,30,,,,,
Fox 29,,M,0700P-0800P,Gotham,,,,,,,,,,400,350,250,,,,,
Fox 29,,M,0800P-0900P,Sleepy Hollow,,,,,,,,,,350,300,250,,,,,
Fox 29,,T,0700P-0800P,Utopia,,,,,,,,,,350,300,250,,,,,
Fox 29,,T,0800P-0830P,New Girl,,,,,,,,,,400,350,300,,,,,
Fox 29,,T,0830P-0900P,The Mindy Project,,,,,,,,,,450,400,300,,,,,
Fox 29,,W,0700P-0800P,Hell's Kitchen,,,,,,,,,,425,375,300,,,,,
Fox 29,,W,0800P-0900P,Red Band Society,,,,,,,,,,425,350,300,,,,,
Fox 29,,R,0700P-0800P,Bones,,,,,,,,,,450,350,300,,,,,
Fox 29,,R,0800P-0900P,Gracepoint,,,,,,,,,,450,375,325,,,,,
Fox 29,,F,0700P-0800P,Masterchef Junior,,,,,,,,,,375,325,250,,,,,
Fox 29,,F,0800P-0900P,Utopia,,,,,,,,,,350,300,200,,,,,
Fox 29,,A,0600P-0830P,FOX College Football,,,,,,,,,,450,300,200,,,,,
Fox 29,,U,0600P-0930P,NFL Non - Saints,,,,,,,,,,1200,1000,800,,,,,
Fox 29,,U,0630P-0700P,Bob's Burgers,,,,,,,,,,300,200,150,,,,,
Fox 29,,U,0700P-0730P,Simpson's ,,,,,,,,,,500,325,275,,,,,
Fox 29,,U,0730P-0800P,Brooklyn Nine-Nine,,,,,,,,,,,,,,,,,
Fox 29,,U,0800P-0830P,Family Guy,,,,,,,,,,400,350,300,,,,,
Fox 29,,U,0830P-0900P,Mulaney,,,,,,,,,,300,275,250,,,,,
Fox 29,,U,0800A-1200P,NFL London,,,,,,,,,,800,650,500,,,,,
Fox 29,,Mon-Fri,0700A-0500P,Daytime,,,,,,,,,,50,40,30,,,,,
Fox 29,,Mon-Fri,0500P-0700P,Access,,,,,,,,,,125,100,85,,,,,
Fox 29,,Mon-Fri,1000P-1200A,Late Night,,,,,,,,,,45,35,25,,,,,
Fox 29,,F,0700P-0900P,Friday Prime,,,,,,,,,,400,275,200,,,,,
Fox 29,,A,1000P-0100A,Saturday Late Night,,,,,,,,,,35,30,25,,,,,
Fox 29,,A,0700P-0900P,Saturday Prime,,,,,,,,,,175,150,125,,,,,
Fox 29,,U,0600P-0900P,Sunday Prime,,,,,,,,,,350,300,250,,,,,
Fox 29,,U,1000P-1200A,Sunday Late Night,,,,,,,,,,45,35,25,,,,,
